"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"DigiCert","QuoVadis Root CA 2 G3","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Included","Websites","8FE4FB0AF93A4D0D67DB0BEBB23E37C71BF325DCBCDD240EA04DAF58B47E1840"
"DigiCert","QuoVadis Root CA 3","Included","serverAuth;clientAuth;emailProtection","Removed","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Included","Websites;Email","18F1FC7F205DF8ADDDEB7FE007DD57E3AF375A9C4D8D73546BF4F1FED1E18D35"
"DigiCert","QuoVadis Root CA 3 G3","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Included","Websites;Email","88EF81DE202EB018452E43F864725CEA5FBD1FC2D9D205730709C5D8B8690F46"
"DigiCert","QuoVadis Signing ECC P384 Root G4","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","771535D43D4633BD307EB7B8A3966B5DF00707C088089920080C1AE6D3CB0F68"
"DigiCert","QuoVadis Signing RSA 4096 Root G4","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","9F8E6DB31E740285E0C2C2DEB09E442BDD4E74BDEEAE2962BC82D1ECB9F39855"
"DigiCert","QuoVadis SMIME ECC P384 Root G4","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","83FDDB2FD9DAE3B21EEBD33CF46251D746F0D6102B683150DD7B98AD8E4BB9F8"
"DigiCert","QuoVadis SMIME RSA 4096 Root G4","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","5232A304AA4A10CFE6C47842EA3381CB31D619E24F58126D534CD50C5CE7845D"
"DigiCert","QuoVadis TLS ECC P384 Root G4","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","6E1FD3AE0D2D477C8F5EE5F335CC5B6356872654E5356A73D8C0A30A17C252A2"
"DigiCert","QuoVadis TLS RSA 4096 Root G4","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","C8A2D38A24F5AC302D8A08EBD38923D9A750B49220F092E82D1C53249E1533D0"
"DigiCert","Symantec Class 1 Public Primary Certification Authority - G4","Removed","","Not Included","Included","Client Authentication;Secure Email","Removed","","363F3C849EAB03B0A2A0F636D7B86D04D3AC7FCFE26A0A9121AB9795F6E176DF"
"DigiCert","Symantec Class 1 Public Primary Certification Authority - G6","Removed","","Not Included","Included","Client Authentication;Secure Email","Removed","","9D190B2E314566685BE8A889E27AA8C7D7AE1D8AADDBA3C1ECF9D24863CD34B9"
"DigiCert","Symantec Class 2 Public Primary Certification Authority - G4","Removed","","Not Included","Included","Client Authentication;Secure Email","Removed","","FE863D0822FE7A2353FA484D5924E875656D3DC9FB58771F6F616F9D571BC592"
"DigiCert","Symantec Class 2 Public Primary Certification Authority - G6","Removed","","Not Included","Included","Client Authentication;Secure Email","Removed","","CB627D18B58AD56DDE331A30456BC65C601A4E9B18DEDCEA08E7DAAA07815FF0"
